Trade #,Type,Date and time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
49,Entry short,2022-05-05,Short,36534.7,0.005668,207.0786796,-1.05,-0.51,0,0.00,-0.93,-0.45,5879.2,587.92
50,Exit short,2022-05-10,Trail S,31002.1,0.182583,6670.61513,1003.38,15.03,1243.98,18.64,-30.07,-0.45,6886.25,688.62
50,Entry short,2022-05-05,Short,36534.7,0.182583,6670.61513,1003.38,15.03,1243.98,18.64,-30.07,-0.45,6886.25,688.62
51,Exit short,2022-06-02,Margin call,30750,0.06558,1954.080702,-64.63,-3.31,14.05,0.72,-63.52,-3.25,6818.36,681.84
51,Entry short,2022-06-01,Short,29796.9,0.06558,1954.080702,-64.63,-3.31,14.05,0.72,-63.52,-3.25,6818.36,681.84
52,Exit short,2022-06-19,Trail S,20564.2,0.199166,5934.529385,1830.5,30.88,2424.38,40.88,-397.86,-6.71,8652.12,865.21
52,Entry short,2022-06-01,Short,29796.9,0.199166,5934.529385,1830.5,30.88,2424.38,40.88,-397.86,-6.71,8652.12,865.21
53,Exit short,2022-07-14,Margin call,20900,0.007368,153.6507984,-0.51,-0.33,14.29,9.30,-0.42,-0.28,8646.39,864.64
53,Entry short,2022-07-10,Short,20853.8,0.007368,153.6507984,-0.51,-0.33,14.29,9.30,-0.42,-0.28,8646.39,864.64
54,Exit short,2022-07-15,Margin call,21200,0.03022,630.201836,-11.15,-1.77,58.6,9.30,-10.8,-1.71,8635.58,863.56
54,Entry short,2022-07-10,Short,20853.8,0.03022,630.201836,-11.15,-1.77,58.6,9.30,-10.8,-1.71,8635.58,863.56
55,Exit short,2022-07-16,Exit S,21183.5,0.425226,8867.577959,-150,-1.69,824.58,9.30,-313.61,-3.54,8490.46,849.05
55,Entry short,2022-07-10,Short,20853.8,0.425226,8867.577959,-150,-1.69,824.58,9.30,-313.61,-3.54,8490.46,849.05
56,Exit short,2022-07-18,Margin call,22800,0.320852,6671.924829,-651,-9.75,5.95,0.09,-646.98,-9.69,7837.91,783.79
56,Entry short,2022-07-17,Short,20794.4,0.320852,6671.924829,-651,-9.75,5.95,0.09,-646.98,-9.69,7837.91,783.79
57,Exit short,2022-07-27,Exit S,22941.1,0.135374,2815.021106,-293.9,-10.43,12.64,0.45,-473.02,-16.79,7545.56,754.56
57,Entry short,2022-07-17,Short,20794.4,0.135374,2815.021106,-293.9,-10.43,12.64,0.45,-473.02,-16.79,7545.56,754.56
58,Exit short,2022-08-18,Margin call,23333.1,0.000068,1.5866508,-0.002,-0.11,0,0.00,-0.001,-0.05,7540.87,754.09
58,Entry short,2022-08-17,Short,23333.1,0.000068,1.5866508,-0.002,-0.11,0,0.00,-0.001,-0.05,7540.87,754.09
59,Exit short,2022-08-18,Margin call,23595,0.032296,753.5657976,-9.29,-1.23,7.08,0.94,-8.87,-1.18,7531.99,753.20
59,Entry short,2022-08-17,Short,23333.1,0.032296,753.5657976,-9.29,-1.23,7.08,0.94,-8.87,-1.18,7531.99,753.20
60,Exit short,2022-08-21,Trail S,21505.6,0.333665,7785.438811,601.48,7.72,859.97,11.04,-91.68,-1.18,8137.75,813.78
60,Entry short,2022-08-17,Short,23333.1,0.333665,7785.438811,601.48,7.72,859.97,11.04,-91.68,-1.18,8137.75,813.78
61,Exit short,2022-09-14,Margin call,20528.5,0.064268,1295.80355,-24.96,-1.93,0,0.00,-24.24,-1.87,8108.48,810.85
61,Entry short,2022-09-13,Short,20162.5,0.064268,1295.80355,-24.96,-1.93,0,0.00,-24.24,-1.87,8108.48,810.85
62,Exit short,2022-09-22,Trail S,19392.5,0.388597,7835.087013,290.77,3.71,803.26,10.25,-146.54,-1.87,8403.56,840.36
62,Entry short,2022-09-13,Short,20162.5,0.388597,7835.087013,290.77,3.71,803.26,10.25,-146.54,-1.87,8403.56,840.36
63,Exit short,2022-10-08,Margin call,19619.6,0.019328,377.2999552,-2.32,-0.62,0,0.00,-2.12,-0.56,8396.27,839.63
63,Entry short,2022-10-07,Short,19520.9,0.019328,377.2999552,-2.32,-0.62,0,0.00,-2.12,-0.56,8396.27,839.63
64,Exit short,2022-10-13,Exit S,19365.5,0.462066,9019.944179,61.92,0.69,735.77,8.15,-50.57,-0.56,8463.16,846.32
64,Entry short,2022-10-07,Short,19520.9,0.462066,9019.944179,61.92,0.69,735.77,8.15,-50.57,-0.56,8463.16,846.32
65,Exit short,2022-10-19,Margin call,19320.9,0.000032,0.6182688,-0.001,-0.11,0,0.00,-0.0003,-0.05,8457.95,845.80
65,Entry short,2022-10-18,Short,19320.9,0.000032,0.6182688,-0.001,-0.11,0,0.00,-0.0003,-0.05,8457.95,845.80
66,Exit short,2022-10-19,Margin call,19349.8,0.005756,111.2111004,-0.29,-0.26,0,0.00,-0.23,-0.20,8457.73,845.77
66,Entry short,2022-10-18,Short,19320.9,0.005756,111.2111004,-0.29,-0.26,0,0.00,-0.23,-0.20,8457.73,845.77
67,Exit short,2022-10-23,Margin call,19690,0.04994,964.885746,-19.51,-2.02,35.47,3.67,-18.97,-1.96,8438.75,843.88
67,Entry short,2022-10-18,Short,19320.9,0.04994,964.885746,-19.51,-2.02,35.47,3.67,-18.97,-1.96,8438.75,843.88
68,Exit short,2022-10-25,Exit S,20068.3,0.433766,8380.749509,-333.62,-3.98,308.07,3.67,-479.23,-5.71,8109.74,810.97
68,Entry short,2022-10-18,Short,19320.9,0.433766,8380.749509,-333.62,-3.98,308.07,3.67,-479.23,-5.71,8109.74,810.97
69,Exit short,2022-11-09,Margin call,18574.9,0.007884,146.122056,-0.48,-0.33,0,0.00,-0.4,-0.28,8104.33,810.43
69,Entry short,2022-11-08,Short,18534,0.007884,146.122056,-0.48,-0.33,0,0.00,-0.4,-0.28,8104.33,810.43
70,Exit short,2022-11-10,Trail S,17588,0.483316,8957.778744,446.53,4.99,1479.08,16.51,-24.69,-0.28,8555.79,855.58
70,Entry short,2022-11-08,Short,18534,0.483316,8957.778744,446.53,4.99,1479.08,16.51,-24.69,-0.28,8555.79,855.58
71,Exit short,2022-12-02,Margin call,17096.3,0.033076,561.316258,-4.78,-0.85,0,0.00,-4.47,-0.80,8546.06,854.61
71,Entry short,2022-12-01,Short,16970.5,0.033076,561.316258,-4.78,-0.85,0,0.00,-4.47,-0.80,8546.06,854.61
72,Exit short,2022-12-08,Exit S,17216,0.52964,8988.25562,-139.99,-1.56,162.16,1.80,-248.34,-2.76,8411.02,841.10
72,Entry short,2022-12-01,Short,16970.5,0.52964,8988.25562,-139.99,-1.56,162.16,1.80,-248.34,-2.76,8411.02,841.10
73,Exit short,2022-12-17,Margin call,16624.1,0.000084,1.3964244,-0.002,-0.11,0,0.00,-0.001,-0.05,8405.84,840.58
73,Entry short,2022-12-16,Short,16624.1,0.000084,1.3964244,-0.002,-0.11,0,0.00,-0.001,-0.05,8405.84,840.58
74,Exit short,2022-12-17,Margin call,16790,0.044468,739.2404788,-8.2,-1.11,1.92,0.26,-7.78,-1.05,8398.06,839.81
74,Entry short,2022-12-16,Short,16624.1,0.044468,739.2404788,-8.2,-1.11,1.92,0.26,-7.78,-1.05,8398.06,839.81
75,Exit short,2022-12-26,Exit S,16912.9,0.521226,8664.913147,-160.13,-1.85,211.11,2.43,-226.55,-2.61,8242.69,824.27
75,Entry short,2022-12-16,Short,16624.1,0.521226,8664.913147,-160.13,-1.85,211.11,2.43,-226.55,-2.61,8242.69,824.27
76,Exit long,2023-02-13,Exit L,21766.2,0.405818,9235.484299,-412.38,-4.46,275.88,2.99,-581.32,-6.29,7830.31,783.03
76,Entry long,2023-02-06,Long,22757.7,0.405818,9235.484299,-412.38,-4.46,275.88,2.99,-581.32,-6.29,7830.31,783.03
77,Exit long,2023-02-18,Margin call,24581.3,0.00004,0.941064,0.04,4.37,0.06,6.39,-0.01,-0.81,7825.5,782.55
77,Entry long,2023-02-16,Long,23526.6,0.00004,0.941064,0.04,4.37,0.06,6.39,-0.01,-0.81,7825.5,782.55
78,Exit long,2023-02-20,Margin call,24265.9,0.000008,0.1882128,0.01,3.03,0.01,7.05,-0.002,-0.81,7825.5,782.55
78,Entry long,2023-02-16,Long,23526.6,0.000008,0.1882128,0.01,3.03,0.01,7.05,-0.002,-0.81,7825.5,782.55
79,Exit long,2023-02-26,Exit L,23545.3,0.375018,8822.898479,-2.7,-0.03,678.14,7.68,-314.86,-3.57,7827.66,782.77
79,Entry long,2023-02-16,Long,23526.6,0.375018,8822.898479,-2.7,-0.03,678.14,7.68,-314.86,-3.57,7827.66,782.77
80,Exit long,2023-04-19,Trail L,28795.1,0.355854,8783.366355,1453.61,16.53,2266.61,25.76,-288.62,-3.27,9281.27,928.13
80,Entry long,2023-03-14,Long,24682.5,0.355854,8783.366355,1453.61,16.53,2266.61,25.76,-288.62,-3.27,9281.27,928.13
81,Exit long,2023-04-29,Margin call,29300,0.000696,20.3928,-0.02,-0.11,0,0.00,-0.01,-0.05,9275.61,927.56
81,Entry long,2023-04-28,Long,29300,0.000696,20.3928,-0.02,-0.11,0,0.00,-0.01,-0.05,9275.61,927.56
82,Exit long,2023-05-09,Exit L,27610.2,0.349895,10251.9235,-602.71,-5.87,221.92,2.16,-723.91,-7.05,8678.54,867.85
82,Entry long,2023-04-28,Long,29300,0.349895,10251.9235,-602.71,-5.87,221.92,2.16,-723.91,-7.05,8678.54,867.85
83,Exit long,2023-06-06,Exit L,27221.5,0.344655,9669.537283,-298.09,-3.08,127.85,1.32,-947.97,-9.79,8380.45,838.04
83,Entry long,2023-05-28,Long,28055.7,0.344655,9669.537283,-298.09,-3.08,127.85,1.32,-947.97,-9.79,8380.45,838.04
84,Exit long,2023-06-21,Margin call,28290.7,0.000656,17.599496,0.94,5.33,1.02,5.79,-0.14,-0.78,8376.24,837.62
84,Entry long,2023-06-19,Long,26828.5,0.000656,17.599496,0.94,5.33,1.02,5.79,-0.14,-0.78,8376.24,837.62
85,Exit long,2023-07-17,Exit L,30126.1,0.348897,9360.383165,1140.16,12.17,1746.79,18.65,-73.02,-0.78,9521.54,952.15
85,Entry long,2023-06-19,Long,26828.5,0.348897,9360.383165,1140.16,12.17,1746.79,18.65,-73.02,-0.78,9521.54,952.15
86,Exit long,2023-08-16,Exit L,28714.4,0.35572,10519.63642,-316.41,-3.01,50.02,0.48,-314.1,-2.99,9205.13,920.51
86,Entry long,2023-08-09,Long,29572.8,0.35572,10519.63642,-316.41,-3.01,50.02,0.48,-314.1,-2.99,9205.13,920.51
87,Exit short,2023-09-01,Margin call,26151.6,0.026276,681.284128,-6.63,-0.97,0,0.00,-6.25,-0.92,9193.27,919.33
87,Entry short,2023-08-31,Short,25928,0.026276,681.284128,-6.63,-0.97,0,0.00,-6.25,-0.92,9193.27,919.33
88,Exit short,2023-09-13,Exit S,26209.9,0.367059,9517.105752,-113.99,-1.20,376.36,3.95,-244.49,-2.57,9084.51,908.45
88,Entry short,2023-08-31,Short,25928,0.367059,9517.105752,-113.99,-1.20,376.36,3.95,-244.49,-2.57,9084.51,908.45
89,Exit short,2023-09-25,Margin call,26232.4,0.000104,2.7281696,-0.003,-0.11,0,0.00,-0.002,-0.05,9078.97,907.90
89,Entry short,2023-09-24,Short,26232.4,0.000104,2.7281696,-0.003,-0.11,0,0.00,-0.002,-0.05,9078.97,907.90
90,Exit short,2023-09-25,Margin call,26440,0.023816,624.7508384,-5.64,-0.90,0,0.00,-5.29,-0.85,9073.68,907.37
90,Entry short,2023-09-24,Short,26232.4,0.023816,624.7508384,-5.64,-0.90,0,0.00,-5.29,-0.85,9073.68,907.37
91,Exit short,2023-09-28,Margin call,27308.7,0.021284,558.3304016,-23.52,-4.21,5.39,0.96,-23.2,-4.16,9050.47,905.05
91,Entry short,2023-09-24,Short,26232.4,0.021284,558.3304016,-23.52,-4.21,5.39,0.96,-23.2,-4.16,9050.47,905.05
92,Exit short,2023-10-01,Margin call,28365.2,0.040712,1067.973469,-88.06,-8.24,10.3,0.96,-87.43,-8.18,8962.99,896.30
92,Entry short,2023-09-24,Short,26232.4,0.040712,1067.973469,-88.06,-8.24,10.3,0.96,-87.43,-8.18,8962.99,896.30
93,Exit short,2023-10-15,Exit S,27139.8,0.298267,7824.259251,-279.4,-3.57,75.47,0.96,-714.28,-9.13,8687.9,868.79
93,Entry short,2023-09-24,Short,26232.4,0.298267,7824.259251,-279.4,-3.57,75.47,0.96,-714.28,-9.13,8687.9,868.79
94,Exit long,2023-10-17,Margin call,28486.3,0.000416,11.8503008,-0.01,-0.11,0,0.00,-0.01,-0.05,8682.57,868.26
94,Entry long,2023-10-16,Long,28486.3,0.000416,11.8503008,-0.01,-0.11,0,0.00,-0.01,-0.05,8682.57,868.26
95,Exit long,2023-11-21,Trail L,35737,0.339442,9669.446645,2450.9,25.32,3394.91,35.08,-151.78,-1.57,11138.78,1113.88
95,Entry long,2023-10-16,Long,28486.3,0.339442,9669.446645,2450.9,25.32,3394.91,35.08,-151.78,-1.57,11138.78,1113.88
96,Exit long,2023-12-19,Margin call,42671.8,0.000668,27.652862,0.82,2.97,0.92,3.32,-0.58,-2.09,11132.94,1113.29
96,Entry long,2023-12-17,Long,41396.5,0.000668,27.652862,0.82,2.97,0.92,3.32,-0.58,-2.09,11132.94,1113.29
97,Exit long,2023-12-30,Exit L,42174.2,0.292634,12114.02338,214.16,1.77,896.99,7.40,-253.04,-2.09,11353.76,1135.38
